Tree	R-F_Cluster	R-F_Cluster_toYuleAvg	R-F_Cluster_toUnifAvg
208	2.0000	1.2369	1.2315
209	2.0000	1.2369	1.2315
210	2.0000	1.2369	1.2315
211	2.0000	1.2369	1.2315
212	1.0000	0.6184	0.6158
213	2.0000	1.2369	1.2315
214	2.0000	1.2369	1.2315
215	1.0000	0.6184	0.6158
216	2.0000	1.2369	1.2315
217	1.0000	0.6184	0.6158
218	1.0000	0.6184	0.6158
219	2.0000	1.2369	1.2315
220	2.0000	1.2369	1.2315
221	2.0000	1.2369	1.2315
222	1.0000	0.6184	0.6158
223	2.0000	1.2369	1.2315
224	2.0000	1.2369	1.2315
225	1.0000	0.6184	0.6158
226	2.0000	1.2369	1.2315
227	2.0000	1.2369	1.2315
228	2.0000	1.2369	1.2315
229	2.0000	1.2369	1.2315
230	2.0000	1.2369	1.2315
231	1.0000	0.6184	0.6158
232	2.0000	1.2369	1.2315
233	1.0000	0.6184	0.6158
234	2.0000	1.2369	1.2315
235	1.0000	0.6184	0.6158
236	2.0000	1.2369	1.2315
237	2.0000	1.2369	1.2315
238	2.0000	1.2369	1.2315
239	2.0000	1.2369	1.2315
240	2.0000	1.2369	1.2315
241	1.0000	0.6184	0.6158
242	2.0000	1.2369	1.2315
243	2.0000	1.2369	1.2315
244	1.0000	0.6184	0.6158
245	1.0000	0.6184	0.6158
246	2.0000	1.2369	1.2315
247	2.0000	1.2369	1.2315
248	1.0000	0.6184	0.6158
249	1.0000	0.6184	0.6158
250	0.0000	0.0000	0.0000
251	1.0000	0.6184	0.6158
252	2.0000	1.2369	1.2315
253	2.0000	1.2369	1.2315
254	2.0000	1.2369	1.2315
255	2.0000	1.2369	1.2315
256	2.0000	1.2369	1.2315
257	2.0000	1.2369	1.2315
258	0.0000	0.0000	0.0000
259	1.0000	0.6184	0.6158
260	2.0000	1.2369	1.2315
261	1.0000	0.6184	0.6158
262	2.0000	1.2369	1.2315
263	2.0000	1.2369	1.2315
264	2.0000	1.2369	1.2315
265	2.0000	1.2369	1.2315
266	2.0000	1.2369	1.2315
267	1.0000	0.6184	0.6158
268	2.0000	1.2369	1.2315
269	2.0000	1.2369	1.2315
270	2.0000	1.2369	1.2315
271	2.0000	1.2369	1.2315
272	2.0000	1.2369	1.2315
273	2.0000	1.2369	1.2315
274	2.0000	1.2369	1.2315
275	2.0000	1.2369	1.2315
276	2.0000	1.2369	1.2315
277	2.0000	1.2369	1.2315
278	2.0000	1.2369	1.2315
279	2.0000	1.2369	1.2315
280	1.0000	0.6184	0.6158
281	2.0000	1.2369	1.2315
282	2.0000	1.2369	1.2315
283	2.0000	1.2369	1.2315
284	2.0000	1.2369	1.2315
285	2.0000	1.2369	1.2315
286	1.0000	0.6184	0.6158
287	1.0000	0.6184	0.6158
288	2.0000	1.2369	1.2315
289	2.0000	1.2369	1.2315
290	1.0000	0.6184	0.6158
291	2.0000	1.2369	1.2315
292	2.0000	1.2369	1.2315
293	1.0000	0.6184	0.6158
294	2.0000	1.2369	1.2315
295	2.0000	1.2369	1.2315
296	0.0000	0.0000	0.0000
297	2.0000	1.2369	1.2315
298	1.0000	0.6184	0.6158
299	2.0000	1.2369	1.2315
300	1.0000	0.6184	0.6158
301	2.0000	1.2369	1.2315
302	1.0000	0.6184	0.6158
303	1.0000	0.6184	0.6158
304	1.0000	0.6184	0.6158
305	2.0000	1.2369	1.2315
306	2.0000	1.2369	1.2315
307	2.0000	1.2369	1.2315
308	2.0000	1.2369	1.2315
309	2.0000	1.2369	1.2315
310	2.0000	1.2369	1.2315
311	2.0000	1.2369	1.2315
312	2.0000	1.2369	1.2315
313	2.0000	1.2369	1.2315
314	1.0000	0.6184	0.6158
315	1.0000	0.6184	0.6158
316	2.0000	1.2369	1.2315
317	2.0000	1.2369	1.2315
318	0.0000	0.0000	0.0000
319	2.0000	1.2369	1.2315
320	2.0000	1.2369	1.2315
321	2.0000	1.2369	1.2315
322	1.0000	0.6184	0.6158
323	1.0000	0.6184	0.6158
324	2.0000	1.2369	1.2315
325	2.0000	1.2369	1.2315
326	2.0000	1.2369	1.2315
327	2.0000	1.2369	1.2315
328	1.0000	0.6184	0.6158
329	2.0000	1.2369	1.2315
330	2.0000	1.2369	1.2315
331	1.0000	0.6184	0.6158
332	2.0000	1.2369	1.2315
333	2.0000	1.2369	1.2315
334	2.0000	1.2369	1.2315
335	2.0000	1.2369	1.2315
336	2.0000	1.2369	1.2315
337	1.0000	0.6184	0.6158
338	2.0000	1.2369	1.2315
339	2.0000	1.2369	1.2315
340	2.0000	1.2369	1.2315
341	2.0000	1.2369	1.2315
342	1.0000	0.6184	0.6158
343	1.0000	0.6184	0.6158
344	2.0000	1.2369	1.2315
345	2.0000	1.2369	1.2315
346	2.0000	1.2369	1.2315
347	2.0000	1.2369	1.2315
348	0.0000	0.0000	0.0000
349	1.0000	0.6184	0.6158
350	2.0000	1.2369	1.2315
351	2.0000	1.2369	1.2315
352	0.0000	0.0000	0.0000
353	2.0000	1.2369	1.2315
354	1.0000	0.6184	0.6158
355	2.0000	1.2369	1.2315
356	1.0000	0.6184	0.6158
357	2.0000	1.2369	1.2315
358	2.0000	1.2369	1.2315
359	2.0000	1.2369	1.2315
360	1.0000	0.6184	0.6158
361	2.0000	1.2369	1.2315
362	2.0000	1.2369	1.2315
363	2.0000	1.2369	1.2315
364	1.0000	0.6184	0.6158
365	1.0000	0.6184	0.6158
366	2.0000	1.2369	1.2315
367	2.0000	1.2369	1.2315
368	1.0000	0.6184	0.6158
369	2.0000	1.2369	1.2315
370	0.0000	0.0000	0.0000
371	2.0000	1.2369	1.2315
372	2.0000	1.2369	1.2315
373	1.0000	0.6184	0.6158
374	2.0000	1.2369	1.2315
375	2.0000	1.2369	1.2315
376	0.0000	0.0000	0.0000
377	2.0000	1.2369	1.2315
378	2.0000	1.2369	1.2315
379	1.0000	0.6184	0.6158
380	2.0000	1.2369	1.2315
381	2.0000	1.2369	1.2315
382	1.0000	0.6184	0.6158
383	1.0000	0.6184	0.6158
384	1.0000	0.6184	0.6158
385	2.0000	1.2369	1.2315
386	2.0000	1.2369	1.2315
387	2.0000	1.2369	1.2315
388	1.0000	0.6184	0.6158
389	1.0000	0.6184	0.6158
390	2.0000	1.2369	1.2315
391	2.0000	1.2369	1.2315
392	2.0000	1.2369	1.2315
393	2.0000	1.2369	1.2315
394	1.0000	0.6184	0.6158
395	2.0000	1.2369	1.2315
396	2.0000	1.2369	1.2315
397	1.0000	0.6184	0.6158
398	2.0000	1.2369	1.2315
399	2.0000	1.2369	1.2315
400	2.0000	1.2369	1.2315
401	2.0000	1.2369	1.2315
402	1.0000	0.6184	0.6158
403	1.0000	0.6184	0.6158
404	2.0000	1.2369	1.2315
405	2.0000	1.2369	1.2315
406	0.0000	0.0000	0.0000
407	1.0000	0.6184	0.6158
408	2.0000	1.2369	1.2315
409	2.0000	1.2369	1.2315
410	2.0000	1.2369	1.2315
411	2.0000	1.2369	1.2315
412	2.0000	1.2369	1.2315
413	1.0000	0.6184	0.6158
414	2.0000	1.2369	1.2315
415	2.0000	1.2369	1.2315
416	1.0000	0.6184	0.6158
417	2.0000	1.2369	1.2315
418	2.0000	1.2369	1.2315
419	1.0000	0.6184	0.6158
420	2.0000	1.2369	1.2315
421	2.0000	1.2369	1.2315
422	2.0000	1.2369	1.2315
423	2.0000	1.2369	1.2315
424	2.0000	1.2369	1.2315
425	1.0000	0.6184	0.6158
426	1.0000	0.6184	0.6158
427	2.0000	1.2369	1.2315
428	2.0000	1.2369	1.2315
429	2.0000	1.2369	1.2315
430	2.0000	1.2369	1.2315
431	1.0000	0.6184	0.6158
432	2.0000	1.2369	1.2315
433	2.0000	1.2369	1.2315
434	2.0000	1.2369	1.2315
435	2.0000	1.2369	1.2315
436	2.0000	1.2369	1.2315
437	1.0000	0.6184	0.6158
438	0.0000	0.0000	0.0000
439	2.0000	1.2369	1.2315
440	2.0000	1.2369	1.2315
441	2.0000	1.2369	1.2315
442	2.0000	1.2369	1.2315
443	2.0000	1.2369	1.2315
444	1.0000	0.6184	0.6158
445	1.0000	0.6184	0.6158
446	2.0000	1.2369	1.2315
447	2.0000	1.2369	1.2315
448	2.0000	1.2369	1.2315
449	1.0000	0.6184	0.6158
450	1.0000	0.6184	0.6158
451	2.0000	1.2369	1.2315
452	2.0000	1.2369	1.2315
453	2.0000	1.2369	1.2315
454	2.0000	1.2369	1.2315
455	0.0000	0.0000	0.0000
456	2.0000	1.2369	1.2315
457	2.0000	1.2369	1.2315
458	2.0000	1.2369	1.2315
459	2.0000	1.2369	1.2315
460	1.0000	0.6184	0.6158
461	2.0000	1.2369	1.2315
462	1.0000	0.6184	0.6158
463	1.0000	0.6184	0.6158
464	2.0000	1.2369	1.2315
465	2.0000	1.2369	1.2315
466	2.0000	1.2369	1.2315
467	2.0000	1.2369	1.2315
468	2.0000	1.2369	1.2315
469	2.0000	1.2369	1.2315
470	2.0000	1.2369	1.2315
471	2.0000	1.2369	1.2315
472	2.0000	1.2369	1.2315
473	1.0000	0.6184	0.6158
474	2.0000	1.2369	1.2315
475	1.0000	0.6184	0.6158
476	1.0000	0.6184	0.6158
477	1.0000	0.6184	0.6158
478	2.0000	1.2369	1.2315
479	1.0000	0.6184	0.6158
480	2.0000	1.2369	1.2315
481	1.0000	0.6184	0.6158
482	2.0000	1.2369	1.2315
483	2.0000	1.2369	1.2315
484	2.0000	1.2369	1.2315
485	2.0000	1.2369	1.2315
486	2.0000	1.2369	1.2315
487	2.0000	1.2369	1.2315
488	2.0000	1.2369	1.2315
489	0.0000	0.0000	0.0000
490	2.0000	1.2369	1.2315
491	2.0000	1.2369	1.2315
492	2.0000	1.2369	1.2315
493	2.0000	1.2369	1.2315
494	2.0000	1.2369	1.2315
495	2.0000	1.2369	1.2315
496	2.0000	1.2369	1.2315
497	2.0000	1.2369	1.2315
498	2.0000	1.2369	1.2315
499	1.0000	0.6184	0.6158
500	2.0000	1.2369	1.2315
501	2.0000	1.2369	1.2315
502	1.0000	0.6184	0.6158
503	2.0000	1.2369	1.2315
504	1.0000	0.6184	0.6158
505	2.0000	1.2369	1.2315
506	2.0000	1.2369	1.2315
507	1.0000	0.6184	0.6158
508	1.0000	0.6184	0.6158
509	2.0000	1.2369	1.2315
510	2.0000	1.2369	1.2315
511	2.0000	1.2369	1.2315
512	2.0000	1.2369	1.2315
513	2.0000	1.2369	1.2315
514	2.0000	1.2369	1.2315
515	2.0000	1.2369	1.2315
516	1.0000	0.6184	0.6158
517	2.0000	1.2369	1.2315
518	2.0000	1.2369	1.2315
519	1.0000	0.6184	0.6158
520	2.0000	1.2369	1.2315
521	2.0000	1.2369	1.2315
522	2.0000	1.2369	1.2315
523	2.0000	1.2369	1.2315
524	2.0000	1.2369	1.2315
525	2.0000	1.2369	1.2315
526	2.0000	1.2369	1.2315
527	2.0000	1.2369	1.2315
528	2.0000	1.2369	1.2315
529	2.0000	1.2369	1.2315
530	2.0000	1.2369	1.2315
531	1.0000	0.6184	0.6158
532	2.0000	1.2369	1.2315
533	1.0000	0.6184	0.6158
534	1.0000	0.6184	0.6158
535	2.0000	1.2369	1.2315
536	2.0000	1.2369	1.2315
537	1.0000	0.6184	0.6158
538	0.0000	0.0000	0.0000
539	1.0000	0.6184	0.6158
540	2.0000	1.2369	1.2315
541	2.0000	1.2369	1.2315
542	1.0000	0.6184	0.6158
543	1.0000	0.6184	0.6158
544	2.0000	1.2369	1.2315
545	1.0000	0.6184	0.6158
546	1.0000	0.6184	0.6158
547	2.0000	1.2369	1.2315
548	2.0000	1.2369	1.2315
549	1.0000	0.6184	0.6158
550	1.0000	0.6184	0.6158
551	2.0000	1.2369	1.2315
552	2.0000	1.2369	1.2315
553	2.0000	1.2369	1.2315
554	2.0000	1.2369	1.2315
555	2.0000	1.2369	1.2315
556	2.0000	1.2369	1.2315
557	2.0000	1.2369	1.2315
558	2.0000	1.2369	1.2315
559	2.0000	1.2369	1.2315
560	2.0000	1.2369	1.2315
561	2.0000	1.2369	1.2315
562	2.0000	1.2369	1.2315
563	2.0000	1.2369	1.2315
564	2.0000	1.2369	1.2315
565	0.0000	0.0000	0.0000
566	1.0000	0.6184	0.6158
567	2.0000	1.2369	1.2315
568	1.0000	0.6184	0.6158
569	1.0000	0.6184	0.6158
570	1.0000	0.6184	0.6158
571	1.0000	0.6184	0.6158
572	2.0000	1.2369	1.2315
573	2.0000	1.2369	1.2315
574	2.0000	1.2369	1.2315
575	2.0000	1.2369	1.2315
576	1.0000	0.6184	0.6158
577	0.0000	0.0000	0.0000
578	1.0000	0.6184	0.6158
579	1.0000	0.6184	0.6158
580	2.0000	1.2369	1.2315
581	2.0000	1.2369	1.2315
582	1.0000	0.6184	0.6158
583	1.0000	0.6184	0.6158
584	1.0000	0.6184	0.6158
585	1.0000	0.6184	0.6158
586	2.0000	1.2369	1.2315
587	1.0000	0.6184	0.6158
588	2.0000	1.2369	1.2315
589	2.0000	1.2369	1.2315
590	1.0000	0.6184	0.6158
591	2.0000	1.2369	1.2315
592	2.0000	1.2369	1.2315
593	0.0000	0.0000	0.0000
594	1.0000	0.6184	0.6158
595	1.0000	0.6184	0.6158
596	2.0000	1.2369	1.2315
597	2.0000	1.2369	1.2315
598	2.0000	1.2369	1.2315
599	1.0000	0.6184	0.6158
600	2.0000	1.2369	1.2315
601	1.0000	0.6184	0.6158
602	2.0000	1.2369	1.2315
603	1.0000	0.6184	0.6158
604	2.0000	1.2369	1.2315
605	2.0000	1.2369	1.2315
606	2.0000	1.2369	1.2315
607	2.0000	1.2369	1.2315
608	1.0000	0.6184	0.6158
609	1.0000	0.6184	0.6158
610	1.0000	0.6184	0.6158
611	1.0000	0.6184	0.6158
612	2.0000	1.2369	1.2315
613	2.0000	1.2369	1.2315
614	2.0000	1.2369	1.2315
615	2.0000	1.2369	1.2315
616	2.0000	1.2369	1.2315
617	2.0000	1.2369	1.2315
618	2.0000	1.2369	1.2315
619	2.0000	1.2369	1.2315
620	2.0000	1.2369	1.2315
621	2.0000	1.2369	1.2315
622	2.0000	1.2369	1.2315
623	2.0000	1.2369	1.2315
624	0.0000	0.0000	0.0000
625	2.0000	1.2369	1.2315
626	1.0000	0.6184	0.6158
627	2.0000	1.2369	1.2315
628	2.0000	1.2369	1.2315
629	2.0000	1.2369	1.2315
630	2.0000	1.2369	1.2315
631	2.0000	1.2369	1.2315
632	1.0000	0.6184	0.6158
633	1.0000	0.6184	0.6158
634	2.0000	1.2369	1.2315
635	2.0000	1.2369	1.2315
636	2.0000	1.2369	1.2315
637	2.0000	1.2369	1.2315
638	2.0000	1.2369	1.2315
639	1.0000	0.6184	0.6158
640	2.0000	1.2369	1.2315
641	2.0000	1.2369	1.2315
642	0.0000	0.0000	0.0000
643	2.0000	1.2369	1.2315
644	1.0000	0.6184	0.6158
645	2.0000	1.2369	1.2315
646	2.0000	1.2369	1.2315
647	2.0000	1.2369	1.2315
648	2.0000	1.2369	1.2315
649	2.0000	1.2369	1.2315
650	0.0000	0.0000	0.0000
651	1.0000	0.6184	0.6158
652	1.0000	0.6184	0.6158
653	2.0000	1.2369	1.2315
654	2.0000	1.2369	1.2315
655	2.0000	1.2369	1.2315
656	2.0000	1.2369	1.2315
657	2.0000	1.2369	1.2315
658	2.0000	1.2369	1.2315
659	2.0000	1.2369	1.2315
660	2.0000	1.2369	1.2315
661	2.0000	1.2369	1.2315
662	2.0000	1.2369	1.2315
663	2.0000	1.2369	1.2315
664	1.0000	0.6184	0.6158
665	2.0000	1.2369	1.2315
666	2.0000	1.2369	1.2315
667	2.0000	1.2369	1.2315
668	2.0000	1.2369	1.2315
669	2.0000	1.2369	1.2315
670	2.0000	1.2369	1.2315
671	1.0000	0.6184	0.6158
672	2.0000	1.2369	1.2315
673	2.0000	1.2369	1.2315
674	2.0000	1.2369	1.2315
675	1.0000	0.6184	0.6158
676	0.0000	0.0000	0.0000
677	2.0000	1.2369	1.2315
678	2.0000	1.2369	1.2315
679	2.0000	1.2369	1.2315
680	2.0000	1.2369	1.2315
681	2.0000	1.2369	1.2315
682	2.0000	1.2369	1.2315
683	2.0000	1.2369	1.2315
684	1.0000	0.6184	0.6158
685	1.0000	0.6184	0.6158
686	2.0000	1.2369	1.2315
687	1.0000	0.6184	0.6158
688	2.0000	1.2369	1.2315
689	1.0000	0.6184	0.6158
690	2.0000	1.2369	1.2315
691	2.0000	1.2369	1.2315
692	1.0000	0.6184	0.6158
693	1.0000	0.6184	0.6158
694	2.0000	1.2369	1.2315
695	2.0000	1.2369	1.2315
696	2.0000	1.2369	1.2315
697	2.0000	1.2369	1.2315
698	2.0000	1.2369	1.2315
699	2.0000	1.2369	1.2315
700	2.0000	1.2369	1.2315
701	1.0000	0.6184	0.6158
702	2.0000	1.2369	1.2315
703	2.0000	1.2369	1.2315
704	2.0000	1.2369	1.2315
705	2.0000	1.2369	1.2315
706	2.0000	1.2369	1.2315
707	2.0000	1.2369	1.2315
708	2.0000	1.2369	1.2315
709	1.0000	0.6184	0.6158
710	2.0000	1.2369	1.2315
711	2.0000	1.2369	1.2315
712	2.0000	1.2369	1.2315
713	2.0000	1.2369	1.2315
714	2.0000	1.2369	1.2315
715	2.0000	1.2369	1.2315
716	2.0000	1.2369	1.2315
717	2.0000	1.2369	1.2315
718	2.0000	1.2369	1.2315
719	2.0000	1.2369	1.2315
720	2.0000	1.2369	1.2315
721	2.0000	1.2369	1.2315
722	2.0000	1.2369	1.2315
723	2.0000	1.2369	1.2315
724	1.0000	0.6184	0.6158
725	1.0000	0.6184	0.6158
726	2.0000	1.2369	1.2315
727	2.0000	1.2369	1.2315
728	2.0000	1.2369	1.2315
729	1.0000	0.6184	0.6158
730	2.0000	1.2369	1.2315
731	2.0000	1.2369	1.2315
732	1.0000	0.6184	0.6158
733	2.0000	1.2369	1.2315
734	2.0000	1.2369	1.2315
735	2.0000	1.2369	1.2315
736	2.0000	1.2369	1.2315
737	1.0000	0.6184	0.6158
738	2.0000	1.2369	1.2315
739	2.0000	1.2369	1.2315
740	2.0000	1.2369	1.2315
741	2.0000	1.2369	1.2315
742	2.0000	1.2369	1.2315
743	2.0000	1.2369	1.2315
744	2.0000	1.2369	1.2315
745	2.0000	1.2369	1.2315
746	2.0000	1.2369	1.2315
747	2.0000	1.2369	1.2315
748	2.0000	1.2369	1.2315
749	1.0000	0.6184	0.6158
750	2.0000	1.2369	1.2315
751	2.0000	1.2369	1.2315
752	2.0000	1.2369	1.2315
753	0.0000	0.0000	0.0000
754	2.0000	1.2369	1.2315
755	2.0000	1.2369	1.2315
756	1.0000	0.6184	0.6158
757	2.0000	1.2369	1.2315
758	2.0000	1.2369	1.2315
759	2.0000	1.2369	1.2315
760	1.0000	0.6184	0.6158
761	2.0000	1.2369	1.2315
762	2.0000	1.2369	1.2315
763	2.0000	1.2369	1.2315
764	2.0000	1.2369	1.2315
765	2.0000	1.2369	1.2315
766	2.0000	1.2369	1.2315
767	2.0000	1.2369	1.2315
768	2.0000	1.2369	1.2315
769	2.0000	1.2369	1.2315
770	2.0000	1.2369	1.2315
771	0.0000	0.0000	0.0000
772	0.0000	0.0000	0.0000
773	2.0000	1.2369	1.2315
774	2.0000	1.2369	1.2315
775	2.0000	1.2369	1.2315
776	2.0000	1.2369	1.2315
777	0.0000	0.0000	0.0000
778	2.0000	1.2369	1.2315
779	2.0000	1.2369	1.2315
780	1.0000	0.6184	0.6158
781	2.0000	1.2369	1.2315
782	2.0000	1.2369	1.2315
783	2.0000	1.2369	1.2315
784	1.0000	0.6184	0.6158
785	1.0000	0.6184	0.6158
786	1.0000	0.6184	0.6158
787	2.0000	1.2369	1.2315
788	1.0000	0.6184	0.6158
789	2.0000	1.2369	1.2315
790	2.0000	1.2369	1.2315
791	2.0000	1.2369	1.2315
792	1.0000	0.6184	0.6158
793	1.0000	0.6184	0.6158
794	0.0000	0.0000	0.0000
795	2.0000	1.2369	1.2315
796	2.0000	1.2369	1.2315
797	2.0000	1.2369	1.2315
798	2.0000	1.2369	1.2315
799	2.0000	1.2369	1.2315
800	2.0000	1.2369	1.2315
801	2.0000	1.2369	1.2315
802	2.0000	1.2369	1.2315
803	1.0000	0.6184	0.6158
804	2.0000	1.2369	1.2315
805	2.0000	1.2369	1.2315
806	1.0000	0.6184	0.6158
807	2.0000	1.2369	1.2315
808	2.0000	1.2369	1.2315
809	2.0000	1.2369	1.2315
810	2.0000	1.2369	1.2315
811	2.0000	1.2369	1.2315
812	2.0000	1.2369	1.2315
813	2.0000	1.2369	1.2315
814	1.0000	0.6184	0.6158
815	2.0000	1.2369	1.2315
816	1.0000	0.6184	0.6158
817	1.0000	0.6184	0.6158
818	2.0000	1.2369	1.2315
