Tree	MatchingCluster	MatchingCluster_toYuleAvg	MatchingCluster_toUnifAvg
347	3.0000	0.9063	0.8863
348	0.0000	0.0000	0.0000
349	2.0000	0.6042	0.5908
350	3.0000	0.9063	0.8863
351	6.0000	1.8127	1.7725
352	0.0000	0.0000	0.0000
353	4.0000	1.2085	1.1817
354	2.0000	0.6042	0.5908
355	4.0000	1.2085	1.1817
356	3.0000	0.9063	0.8863
357	3.0000	0.9063	0.8863
358	4.0000	1.2085	1.1817
359	6.0000	1.8127	1.7725
360	3.0000	0.9063	0.8863
361	3.0000	0.9063	0.8863
362	4.0000	1.2085	1.1817
363	3.0000	0.9063	0.8863
364	2.0000	0.6042	0.5908
365	3.0000	0.9063	0.8863
366	6.0000	1.8127	1.7725
367	4.0000	1.2085	1.1817
368	3.0000	0.9063	0.8863
369	4.0000	1.2085	1.1817
370	0.0000	0.0000	0.0000
371	4.0000	1.2085	1.1817
372	6.0000	1.8127	1.7725
373	3.0000	0.9063	0.8863
374	3.0000	0.9063	0.8863
375	3.0000	0.9063	0.8863
376	0.0000	0.0000	0.0000
377	3.0000	0.9063	0.8863
378	3.0000	0.9063	0.8863
379	3.0000	0.9063	0.8863
380	3.0000	0.9063	0.8863
381	6.0000	1.8127	1.7725
382	3.0000	0.9063	0.8863
383	3.0000	0.9063	0.8863
384	2.0000	0.6042	0.5908
385	3.0000	0.9063	0.8863
386	3.0000	0.9063	0.8863
387	3.0000	0.9063	0.8863
388	3.0000	0.9063	0.8863
389	3.0000	0.9063	0.8863
390	3.0000	0.9063	0.8863
391	3.0000	0.9063	0.8863
392	3.0000	0.9063	0.8863
393	3.0000	0.9063	0.8863
394	3.0000	0.9063	0.8863
395	4.0000	1.2085	1.1817
396	4.0000	1.2085	1.1817
397	3.0000	0.9063	0.8863
398	4.0000	1.2085	1.1817
399	6.0000	1.8127	1.7725
400	4.0000	1.2085	1.1817
401	3.0000	0.9063	0.8863
402	3.0000	0.9063	0.8863
403	3.0000	0.9063	0.8863
404	3.0000	0.9063	0.8863
405	4.0000	1.2085	1.1817
406	0.0000	0.0000	0.0000
407	3.0000	0.9063	0.8863
408	6.0000	1.8127	1.7725
409	4.0000	1.2085	1.1817
410	6.0000	1.8127	1.7725
411	6.0000	1.8127	1.7725
412	3.0000	0.9063	0.8863
413	2.0000	0.6042	0.5908
414	4.0000	1.2085	1.1817
415	4.0000	1.2085	1.1817
416	2.0000	0.6042	0.5908
417	6.0000	1.8127	1.7725
418	3.0000	0.9063	0.8863
419	2.0000	0.6042	0.5908
420	4.0000	1.2085	1.1817
421	4.0000	1.2085	1.1817
422	3.0000	0.9063	0.8863
423	4.0000	1.2085	1.1817
424	4.0000	1.2085	1.1817
425	3.0000	0.9063	0.8863
426	2.0000	0.6042	0.5908
427	4.0000	1.2085	1.1817
428	3.0000	0.9063	0.8863
429	3.0000	0.9063	0.8863
430	4.0000	1.2085	1.1817
431	3.0000	0.9063	0.8863
432	4.0000	1.2085	1.1817
433	3.0000	0.9063	0.8863
434	6.0000	1.8127	1.7725
435	4.0000	1.2085	1.1817
436	4.0000	1.2085	1.1817
437	3.0000	0.9063	0.8863
438	0.0000	0.0000	0.0000
439	3.0000	0.9063	0.8863
440	3.0000	0.9063	0.8863
441	4.0000	1.2085	1.1817
442	3.0000	0.9063	0.8863
443	3.0000	0.9063	0.8863
444	3.0000	0.9063	0.8863
445	2.0000	0.6042	0.5908
446	4.0000	1.2085	1.1817
447	3.0000	0.9063	0.8863
448	3.0000	0.9063	0.8863
449	3.0000	0.9063	0.8863
450	2.0000	0.6042	0.5908
451	3.0000	0.9063	0.8863
452	4.0000	1.2085	1.1817
453	6.0000	1.8127	1.7725
454	4.0000	1.2085	1.1817
455	0.0000	0.0000	0.0000
456	4.0000	1.2085	1.1817
457	3.0000	0.9063	0.8863
458	6.0000	1.8127	1.7725
459	3.0000	0.9063	0.8863
460	2.0000	0.6042	0.5908
461	4.0000	1.2085	1.1817
462	2.0000	0.6042	0.5908
463	2.0000	0.6042	0.5908
464	4.0000	1.2085	1.1817
465	3.0000	0.9063	0.8863
466	3.0000	0.9063	0.8863
467	3.0000	0.9063	0.8863
468	4.0000	1.2085	1.1817
469	3.0000	0.9063	0.8863
470	4.0000	1.2085	1.1817
471	4.0000	1.2085	1.1817
472	3.0000	0.9063	0.8863
473	2.0000	0.6042	0.5908
474	6.0000	1.8127	1.7725
475	3.0000	0.9063	0.8863
476	3.0000	0.9063	0.8863
477	3.0000	0.9063	0.8863
478	3.0000	0.9063	0.8863
479	3.0000	0.9063	0.8863
480	3.0000	0.9063	0.8863
481	3.0000	0.9063	0.8863
482	3.0000	0.9063	0.8863
483	3.0000	0.9063	0.8863
484	3.0000	0.9063	0.8863
485	3.0000	0.9063	0.8863
486	4.0000	1.2085	1.1817
487	4.0000	1.2085	1.1817
488	3.0000	0.9063	0.8863
489	0.0000	0.0000	0.0000
490	3.0000	0.9063	0.8863
491	3.0000	0.9063	0.8863
492	4.0000	1.2085	1.1817
493	3.0000	0.9063	0.8863
494	4.0000	1.2085	1.1817
495	6.0000	1.8127	1.7725
496	6.0000	1.8127	1.7725
497	6.0000	1.8127	1.7725
498	3.0000	0.9063	0.8863
499	3.0000	0.9063	0.8863
500	3.0000	0.9063	0.8863
501	3.0000	0.9063	0.8863
502	2.0000	0.6042	0.5908
503	6.0000	1.8127	1.7725
504	2.0000	0.6042	0.5908
505	3.0000	0.9063	0.8863
506	4.0000	1.2085	1.1817
507	2.0000	0.6042	0.5908
508	2.0000	0.6042	0.5908
509	4.0000	1.2085	1.1817
510	3.0000	0.9063	0.8863
511	3.0000	0.9063	0.8863
512	6.0000	1.8127	1.7725
513	3.0000	0.9063	0.8863
514	6.0000	1.8127	1.7725
515	6.0000	1.8127	1.7725
516	2.0000	0.6042	0.5908
517	3.0000	0.9063	0.8863
518	6.0000	1.8127	1.7725
519	2.0000	0.6042	0.5908
520	4.0000	1.2085	1.1817
521	3.0000	0.9063	0.8863
522	4.0000	1.2085	1.1817
523	3.0000	0.9063	0.8863
524	3.0000	0.9063	0.8863
525	3.0000	0.9063	0.8863
526	3.0000	0.9063	0.8863
527	4.0000	1.2085	1.1817
528	3.0000	0.9063	0.8863
529	4.0000	1.2085	1.1817
530	3.0000	0.9063	0.8863
531	2.0000	0.6042	0.5908
532	3.0000	0.9063	0.8863
533	3.0000	0.9063	0.8863
534	2.0000	0.6042	0.5908
535	3.0000	0.9063	0.8863
536	3.0000	0.9063	0.8863
537	2.0000	0.6042	0.5908
538	0.0000	0.0000	0.0000
539	2.0000	0.6042	0.5908
540	3.0000	0.9063	0.8863
541	3.0000	0.9063	0.8863
542	2.0000	0.6042	0.5908
543	3.0000	0.9063	0.8863
544	3.0000	0.9063	0.8863
545	2.0000	0.6042	0.5908
546	3.0000	0.9063	0.8863
547	4.0000	1.2085	1.1817
548	4.0000	1.2085	1.1817
549	2.0000	0.6042	0.5908
550	2.0000	0.6042	0.5908
551	3.0000	0.9063	0.8863
552	3.0000	0.9063	0.8863
553	3.0000	0.9063	0.8863
554	3.0000	0.9063	0.8863
555	4.0000	1.2085	1.1817
556	6.0000	1.8127	1.7725
557	3.0000	0.9063	0.8863
558	6.0000	1.8127	1.7725
559	4.0000	1.2085	1.1817
560	3.0000	0.9063	0.8863
561	4.0000	1.2085	1.1817
562	3.0000	0.9063	0.8863
563	6.0000	1.8127	1.7725
564	3.0000	0.9063	0.8863
565	0.0000	0.0000	0.0000
566	3.0000	0.9063	0.8863
567	4.0000	1.2085	1.1817
568	3.0000	0.9063	0.8863
569	2.0000	0.6042	0.5908
570	2.0000	0.6042	0.5908
571	3.0000	0.9063	0.8863
572	6.0000	1.8127	1.7725
573	3.0000	0.9063	0.8863
574	3.0000	0.9063	0.8863
575	3.0000	0.9063	0.8863
576	3.0000	0.9063	0.8863
577	0.0000	0.0000	0.0000
578	2.0000	0.6042	0.5908
579	2.0000	0.6042	0.5908
580	4.0000	1.2085	1.1817
581	4.0000	1.2085	1.1817
582	2.0000	0.6042	0.5908
583	2.0000	0.6042	0.5908
584	2.0000	0.6042	0.5908
585	3.0000	0.9063	0.8863
586	6.0000	1.8127	1.7725
587	2.0000	0.6042	0.5908
588	4.0000	1.2085	1.1817
589	3.0000	0.9063	0.8863
590	3.0000	0.9063	0.8863
591	3.0000	0.9063	0.8863
592	3.0000	0.9063	0.8863
593	0.0000	0.0000	0.0000
594	2.0000	0.6042	0.5908
595	3.0000	0.9063	0.8863
596	6.0000	1.8127	1.7725
597	3.0000	0.9063	0.8863
598	4.0000	1.2085	1.1817
599	2.0000	0.6042	0.5908
600	6.0000	1.8127	1.7725
601	3.0000	0.9063	0.8863
602	3.0000	0.9063	0.8863
603	3.0000	0.9063	0.8863
604	3.0000	0.9063	0.8863
605	3.0000	0.9063	0.8863
606	4.0000	1.2085	1.1817
607	3.0000	0.9063	0.8863
608	3.0000	0.9063	0.8863
609	3.0000	0.9063	0.8863
610	2.0000	0.6042	0.5908
611	3.0000	0.9063	0.8863
612	3.0000	0.9063	0.8863
613	3.0000	0.9063	0.8863
614	3.0000	0.9063	0.8863
615	4.0000	1.2085	1.1817
616	4.0000	1.2085	1.1817
617	3.0000	0.9063	0.8863
618	4.0000	1.2085	1.1817
619	3.0000	0.9063	0.8863
620	4.0000	1.2085	1.1817
621	3.0000	0.9063	0.8863
622	4.0000	1.2085	1.1817
623	3.0000	0.9063	0.8863
624	0.0000	0.0000	0.0000
625	3.0000	0.9063	0.8863
626	3.0000	0.9063	0.8863
627	3.0000	0.9063	0.8863
628	6.0000	1.8127	1.7725
629	4.0000	1.2085	1.1817
630	4.0000	1.2085	1.1817
631	3.0000	0.9063	0.8863
632	3.0000	0.9063	0.8863
633	3.0000	0.9063	0.8863
634	3.0000	0.9063	0.8863
635	3.0000	0.9063	0.8863
636	4.0000	1.2085	1.1817
637	4.0000	1.2085	1.1817
638	4.0000	1.2085	1.1817
639	3.0000	0.9063	0.8863
640	3.0000	0.9063	0.8863
641	4.0000	1.2085	1.1817
642	0.0000	0.0000	0.0000
643	4.0000	1.2085	1.1817
644	2.0000	0.6042	0.5908
645	4.0000	1.2085	1.1817
646	3.0000	0.9063	0.8863
647	3.0000	0.9063	0.8863
648	4.0000	1.2085	1.1817
649	4.0000	1.2085	1.1817
650	0.0000	0.0000	0.0000
651	3.0000	0.9063	0.8863
652	2.0000	0.6042	0.5908
653	4.0000	1.2085	1.1817
654	3.0000	0.9063	0.8863
655	3.0000	0.9063	0.8863
656	3.0000	0.9063	0.8863
657	3.0000	0.9063	0.8863
658	3.0000	0.9063	0.8863
659	3.0000	0.9063	0.8863
660	4.0000	1.2085	1.1817
661	6.0000	1.8127	1.7725
662	4.0000	1.2085	1.1817
663	4.0000	1.2085	1.1817
664	3.0000	0.9063	0.8863
665	4.0000	1.2085	1.1817
666	6.0000	1.8127	1.7725
667	6.0000	1.8127	1.7725
668	3.0000	0.9063	0.8863
669	6.0000	1.8127	1.7725
670	4.0000	1.2085	1.1817
671	2.0000	0.6042	0.5908
672	4.0000	1.2085	1.1817
673	3.0000	0.9063	0.8863
674	3.0000	0.9063	0.8863
675	3.0000	0.9063	0.8863
676	0.0000	0.0000	0.0000
677	4.0000	1.2085	1.1817
678	3.0000	0.9063	0.8863
679	6.0000	1.8127	1.7725
680	3.0000	0.9063	0.8863
681	3.0000	0.9063	0.8863
682	3.0000	0.9063	0.8863
683	6.0000	1.8127	1.7725
684	2.0000	0.6042	0.5908
685	3.0000	0.9063	0.8863
686	4.0000	1.2085	1.1817
687	2.0000	0.6042	0.5908
688	4.0000	1.2085	1.1817
689	3.0000	0.9063	0.8863
690	3.0000	0.9063	0.8863
691	4.0000	1.2085	1.1817
692	3.0000	0.9063	0.8863
693	3.0000	0.9063	0.8863
694	4.0000	1.2085	1.1817
695	3.0000	0.9063	0.8863
696	6.0000	1.8127	1.7725
697	3.0000	0.9063	0.8863
698	4.0000	1.2085	1.1817
699	3.0000	0.9063	0.8863
700	4.0000	1.2085	1.1817
701	3.0000	0.9063	0.8863
702	4.0000	1.2085	1.1817
703	4.0000	1.2085	1.1817
704	4.0000	1.2085	1.1817
705	3.0000	0.9063	0.8863
706	4.0000	1.2085	1.1817
707	4.0000	1.2085	1.1817
708	4.0000	1.2085	1.1817
709	3.0000	0.9063	0.8863
710	4.0000	1.2085	1.1817
711	3.0000	0.9063	0.8863
712	4.0000	1.2085	1.1817
713	4.0000	1.2085	1.1817
714	6.0000	1.8127	1.7725
715	3.0000	0.9063	0.8863
716	3.0000	0.9063	0.8863
717	4.0000	1.2085	1.1817
718	3.0000	0.9063	0.8863
719	3.0000	0.9063	0.8863
720	6.0000	1.8127	1.7725
721	3.0000	0.9063	0.8863
722	3.0000	0.9063	0.8863
723	3.0000	0.9063	0.8863
724	2.0000	0.6042	0.5908
725	3.0000	0.9063	0.8863
726	6.0000	1.8127	1.7725
727	4.0000	1.2085	1.1817
728	3.0000	0.9063	0.8863
729	3.0000	0.9063	0.8863
730	4.0000	1.2085	1.1817
731	6.0000	1.8127	1.7725
732	2.0000	0.6042	0.5908
733	3.0000	0.9063	0.8863
734	4.0000	1.2085	1.1817
735	3.0000	0.9063	0.8863
736	4.0000	1.2085	1.1817
737	2.0000	0.6042	0.5908
738	6.0000	1.8127	1.7725
739	3.0000	0.9063	0.8863
740	6.0000	1.8127	1.7725
741	3.0000	0.9063	0.8863
742	6.0000	1.8127	1.7725
743	4.0000	1.2085	1.1817
744	3.0000	0.9063	0.8863
745	4.0000	1.2085	1.1817
746	3.0000	0.9063	0.8863
747	3.0000	0.9063	0.8863
748	4.0000	1.2085	1.1817
749	2.0000	0.6042	0.5908
750	4.0000	1.2085	1.1817
751	4.0000	1.2085	1.1817
752	3.0000	0.9063	0.8863
753	0.0000	0.0000	0.0000
754	3.0000	0.9063	0.8863
755	6.0000	1.8127	1.7725
756	2.0000	0.6042	0.5908
757	4.0000	1.2085	1.1817
758	4.0000	1.2085	1.1817
759	6.0000	1.8127	1.7725
760	3.0000	0.9063	0.8863
761	6.0000	1.8127	1.7725
762	4.0000	1.2085	1.1817
763	3.0000	0.9063	0.8863
764	4.0000	1.2085	1.1817
765	3.0000	0.9063	0.8863
766	3.0000	0.9063	0.8863
767	3.0000	0.9063	0.8863
768	4.0000	1.2085	1.1817
769	4.0000	1.2085	1.1817
770	6.0000	1.8127	1.7725
771	0.0000	0.0000	0.0000
772	0.0000	0.0000	0.0000
773	3.0000	0.9063	0.8863
774	4.0000	1.2085	1.1817
775	4.0000	1.2085	1.1817
776	3.0000	0.9063	0.8863
777	0.0000	0.0000	0.0000
778	4.0000	1.2085	1.1817
779	3.0000	0.9063	0.8863
780	2.0000	0.6042	0.5908
781	3.0000	0.9063	0.8863
782	3.0000	0.9063	0.8863
783	4.0000	1.2085	1.1817
784	3.0000	0.9063	0.8863
785	2.0000	0.6042	0.5908
786	3.0000	0.9063	0.8863
787	4.0000	1.2085	1.1817
788	2.0000	0.6042	0.5908
789	3.0000	0.9063	0.8863
790	3.0000	0.9063	0.8863
791	6.0000	1.8127	1.7725
792	3.0000	0.9063	0.8863
793	3.0000	0.9063	0.8863
794	0.0000	0.0000	0.0000
795	4.0000	1.2085	1.1817
796	3.0000	0.9063	0.8863
797	3.0000	0.9063	0.8863
798	3.0000	0.9063	0.8863
799	3.0000	0.9063	0.8863
800	4.0000	1.2085	1.1817
801	3.0000	0.9063	0.8863
802	3.0000	0.9063	0.8863
803	3.0000	0.9063	0.8863
804	4.0000	1.2085	1.1817
805	4.0000	1.2085	1.1817
806	3.0000	0.9063	0.8863
807	4.0000	1.2085	1.1817
808	3.0000	0.9063	0.8863
809	6.0000	1.8127	1.7725
810	4.0000	1.2085	1.1817
811	6.0000	1.8127	1.7725
812	3.0000	0.9063	0.8863
813	3.0000	0.9063	0.8863
814	3.0000	0.9063	0.8863
815	3.0000	0.9063	0.8863
816	3.0000	0.9063	0.8863
817	2.0000	0.6042	0.5908
818	4.0000	1.2085	1.1817
